Menu Item ID,Menu Item,Category > Sub,Current Image,Matched Image,Canonical Target,Confidence,Tier,Reason,Status
1,FLASH PAN FRIED CHICKEN LIVERS,Starters > SMALL PLATES,Images/FLASH PAN FRIED CHICKEN LIVERS.jpg,flash_pan_fried_chicken_livers.jpg,FLASH PAN FRIED CHICKEN LIVERS.jpg,100,T1,exact normalized (unique),MATCHED
2,CHICKEN TRINCHADO,Starters > SMALL PLATES,Images/CHICKEN TRINCHADO.jpg,chicken_trinchado.jpg,CHICKEN TRINCHADO.jpg,100,T1,exact normalized (unique),MATCHED
3,FIRECRACKER CHICKEN WINGS (400g),Starters > SMALL PLATES,Images/FIRECRACKER CHICKEN WINGS.jpg,firecracker_chicken_wings_400g.jpg,FIRECRACKER CHICKEN WINGS (400g).jpg,100,T1,exact normalized (unique),MATCHED
4,BEEF BILTONG,Starters > SMALL PLATES,Images/BEEF BILTONG.jpg,beef_biltong.jpg,BEEF BILTONG.jpg,100,T1,exact normalized (unique),MATCHED
5,BOEREWORS & CHAKALAKA,Starters > SMALL PLATES,Images/BOEREWORS & CHAKALAKA.jpg,boerewors_and_chakalaka.jpg,BOEREWORS & CHAKALAKA.jpg,100,T1,exact normalized (unique),MATCHED
6,SPRINGBOK CARPACCIO,Starters > SMALL PLATES,/uploads/menu-media/6.webp,springbok_carpaccio.jpg,SPRINGBOK CARPACCIO.jpg,100,T1,exact normalized (unique),MATCHED
7,GARLIC SNAILS,Starters > SMALL PLATES,Images/GARLIC SNAILS.jpg,garlic_snails.jpg,GARLIC SNAILS.jpg,100,T1,exact normalized (unique),MATCHED
8,GARLIC LEMON CALAMARI,Starters > SMALL PLATES,Images/GARLIC LEMON CALAMARI.jpg,garlic_lemon_calamari.jpg,GARLIC LEMON CALAMARI.jpg,100,T1,exact normalized (unique),MATCHED
9,MUSSELS,Starters > SMALL PLATES,Images/MUSSELS.jpg,mussels.jpg,MUSSELS.jpg,100,T1,exact normalized (unique),MATCHED
10,QUEEN PRAWNS 3's,Starters > SMALL PLATES,Images/Butter-garlic-prawns.jpg,queen_prawns_3_s.jpg,QUEEN PRAWNS 3's.jpg,100,T1,exact normalized (unique),MATCHED
11,FRIED HALLOUMI FINGERS,Starters > SMALL PLATES,Images/FRIED HALLOUMI FINGERS.jpg,fried_halloumi_fingers.jpg,FRIED HALLOUMI FINGERS.jpg,100,T1,exact normalized (unique),MATCHED
12,SMALL GREEK SALAD,Starters > SMALL PLATES,Images/SMALL GREEK SALAD.jpg,small_greek_salad.jpg,SMALL GREEK SALAD.jpg,100,T1,exact normalized (unique),MATCHED
13,TEMPURA CHICKEN,Starters > TEMPURA,Images/TEMPURA CHICKEN.jpg,tempura_chicken.jpg,TEMPURA CHICKEN.jpg,100,T1,exact normalized (unique),MATCHED
14,TEMPURA PRAWN,Starters > TEMPURA,Images/TEMPURA PRAWN.jpg,tempura_prawn.jpg,TEMPURA PRAWN.jpg,100,T1,exact normalized (unique),MATCHED
15,TEMPURA BILTONG,Starters > TEMPURA,Images/TEMPURA BILTONG.jpg,tempura_biltong.jpg,TEMPURA BILTONG.jpg,100,T1,exact normalized (unique),MATCHED
16,TRUMPS SALAD,Salads > BESPOKE SALADS,Images/TRUMPS SALAD.jpg,trumps_salad.jpg,TRUMPS SALAD.jpg,100,T1,exact normalized (unique),MATCHED
17,GREEK SALAD,Salads > BESPOKE SALADS,Images/GREEK SALAD.jpg,greek_salad.jpg,GREEK SALAD.jpg,100,T1,exact normalized (unique),MATCHED
18,HALLOUMI SALAD,Salads > BESPOKE SALADS,Images/HALLOUMI SALAD.jpg,halloumi_salad.jpg,HALLOUMI SALAD.jpg,100,T1,exact normalized (unique),MATCHED
